time_s,displacement_m,displacement_mm,breathing_signal_m,heart_signal_m
13.200000000000003,1.1970437404438777e-05,0.011970437404438776,-7.92130092456525e-06,-3.499082600431633e-05
13.250000000000002,8.79966388548915e-06,0.00879966388548915,-7.324865069291815e-06,-4.072190658179047e-05
13.300000000000002,8.55696276055756e-06,0.008556962760557561,-6.620421807348034e-06,-3.4280789327056235e-05
13.350000000000003,1.1982777270997543e-05,0.011982777270997542,-5.786077294244307e-06,-1.5273067742637384e-05
13.400000000000002,3.585649440758717e-05,0.03585649440758717,-4.801419701222429e-06,1.2806715638620931e-05
13.450000000000003,5.5592235888433805e-05,0.0555922358884338,-3.64947810422735e-06,4.3354064196626576e-05
13.500000000000002,6.24543432783063e-05,0.062454343278306304,-2.318662099319279e-06,6.846292821574687e-05
13.550000000000002,9.604550178226429e-05,0.09604550178226429,-8.045754583465142e-07,8.119573125668252e-05
13.600000000000003,0.00015190824189954824,0.15190824189954824,8.884008086176669e-07,7.759219554681428e-05
13.650000000000002,0.00011569403384669808,0.11569403384669807,2.7458537621467942e-06,5.7786415562249006e-05
13.700000000000003,3.6744301181222336e-05,0.036744301181222336,4.7424985323245645e-06,2.5905048495578206e-05
13.750000000000002,-2.804490596476847e-05,-0.028044905964768472,6.84182365536829e-06,-1.117590535933755e-05
13.800000000000002,-7.111481788224585e-05,-0.07111481788224586,8.996273086097513e-06,-4.5775195516248145e-05
13.850000000000003,-0.00010141132468807231,-0.1014113246880723,1.114799400835689e-05,-7.141272585274104e-05
13.900000000000002,-0.00010663100076063464,-0.10663100076063464,1.3230155308349533e-05,-8.426728699421172e-05
13.950000000000003,-9.918660207911376e-05,-0.09918660207911376,1.516881624264953e-05,-8.370585260098012e-05
14.000000000000002,-7.711202620297599e-05,-0.07711202620297598,1.6885299451713133e-05,-7.184616519420322e-05
14.050000000000002,-7.026462107064433e-05,-0.07026462107064432,1.8298998092543798e-05,-5.243819178895051e-05
14.100000000000003,-5.68141616636817e-05,-0.056814161663681695,1.9330524524354248e-05,-2.9542071960656556e-05
14.150000000000002,-1.2771397002095527e-05,-0.012771397002095527,1.990508865305584e-05,-6.48133185135938e-06
14.200000000000003,-2.3807413665695747e-05,-0.023807413665695748,1.9955978600112563e-05,1.4624325187336974e-05
14.250000000000002,-1.5599161096714294e-05,-0.015599161096714295,1.942800554996793e-05,3.2712160398174914e-05
14.300000000000002,2.4285927678796904e-05,0.024285927678796903,1.828076902294831e-05,4.723449583604989e-05
14.350000000000003,2.187469554616856e-05,0.02187469554616856,1.6491598800598904e-05,5.7579195407429636e-05
14.400000000000002,1.6899272458360342e-05,0.016899272458360343,1.4058035470827439e-05,6.278508313889211e-05
14.450000000000003,3.7723023402656635e-05,0.03772302340265663,1.099972301289827e-05,6.171602555949829e-05
14.500000000000002,4.2727311518180974e-05,0.042727311518180974,7.359603735465328e-06,5.3621558660369024e-05
14.550000000000002,3.2232724861453994e-05,0.032232724861453996,3.204327725000807e-06,3.881129279936171e-05
14.600000000000003,3.220554160362697e-05,0.03220554160362697,-1.3761849356160328e-06,1.9090790210509012e-05
14.650000000000002,1.3744957200251783e-05,0.013744957200251783,-6.2700614317447e-06,-2.3166829639838715e-06
14.700000000000003,-5.648222410752681e-06,-0.0056482224107526815,-1.1345673372266145e-05,-2.1434678143806485e-05
14.750000000000002,-1.9036515691139058e-05,-0.01903651569113906,-1.6454681178754826e-05,-3.460847812555325e-05
14.800000000000002,-2.5556367004188904e-05,-0.025556367004188903,-2.1435859985456105e-05,-3.9623801288412544e-05
14.850000000000003,-4.011431045956923e-05,-0.04011431045956923,-2.6119609505145883e-05,-3.6450062252890436e-05
14.900000000000002,-3.9466768312243584e-05,-0.039466768312243584,-3.0333020969824563e-05,-2.730145806578214e-05
14.950000000000003,-1.4856482121472985e-05,-0.014856482121472985,-3.3905348554132295e-05,-1.5948528271734402e-05
15.000000000000004,3.5267407186220464e-05,0.03526740718622046,-3.667371169591622e-05,-6.489628192839927e-06
15.050000000000002,7.598130754070252e-05,0.07598130754070252,-3.848883935654792e-05,-1.9996471194008933e-06
15.100000000000003,6.464065014456743e-05,0.06464065014456744,-3.9220658241902995e-05,-3.530441167285915e-06
15.150000000000002,-1.7761668760362228e-05,-0.017761668760362226,-3.876352484563765e-05,-9.818612502652201e-06
15.200000000000003,-5.802756966400124e-05,-0.05802756966400124,-3.704090615221358e-05,-1.780335511215664e-05
15.250000000000004,-4.663466834496646e-05,-0.04663466834496646,-3.40093259662275e-05,-2.3763733375145672e-05
15.300000000000002,-3.747792570465202e-05,-0.03747792570465202,-2.9661412874851433e-05,-2.466085494967701e-05
15.350000000000003,-7.186058231355673e-05,-0.07186058231355673,-2.4027911302700465e-05,-1.9200152826043872e-05
15.400000000000002,-6.16089320664972e-05,-0.061608932066497195,-1.7178548240617665e-05,-8.238650335179892e-06
15.450000000000003,-3.0074635168585395e-05,-0.030074635168585395,-9.221684057518958e-06,5.590224865705537e-06
15.500000000000004,-6.093077207696041e-06,-0.006093077207696041,-3.027151823806283e-07,1.8870056135548508e-05
15.550000000000002,-4.745891024661986e-07,-0.0004745891024661986,9.398761936521777e-06,2.8623581618237513e-05
15.600000000000003,-7.363591527337417e-06,-0.007363591527337417,1.9672973742901497e-05,3.329962277734491e-05
15.650000000000002,-3.2297030174047295e-05,-0.032297030174047295,3.0285085708810768e-05,3.3163644694070516e-05
15.700000000000003,-6.0162898582755145e-05,-0.06016289858275514,4.0981278394272654e-05,2.9969299303924842e-05
15.750000000000004,-5.266585944830954e-05,-0.052665859448309545,5.149561404923191e-05,2.606933061591924e-05
15.800000000000002,-5.730034259341382e-06,-0.005730034259341382,6.155749321792139e-05,2.333898361298059e-05
15.850000000000003,2.1179679113390636e-05,0.021179679113390637,7.089947576347301e-05,2.235115092906585e-05
15.900000000000002,4.806822194853777e-05,0.04806822194853777,7.926522280962162e-05,2.213559830248648e-05
15.950000000000003,6.047665456432465e-05,0.060476654564324654,8.641730607045987e-05,2.0617708888062213e-05
16.000000000000004,2.227677003899648e-05,0.02227677003899648,9.214462942000669e-05,1.5558704447023835e-05
16.050000000000004,6.0912760558475413e-05,0.060912760558475415,9.626921456772616e-05,5.616736406529353e-06
16.1,0.00010964948447838308,0.10964948447838307,9.865211828345015e-05,-8.903680826662124e-06
16.150000000000002,0.00012280888288812453,0.12280888288812453,9.919827238488014e-05,-2.5926846188220224e-05
16.200000000000003,0.00010457148300936719,0.1045714830093672,9.786006900068628e-05,-4.217384781854045e-05
16.250000000000004,9.270004228245375e-05,0.09270004228245375,9.463955151676321e-05,-5.42172404729527e-05
16.300000000000004,9.170788048797078e-05,0.09170788048797078,8.958911492237946e-05,-5.962042673521751e-05
16.35,4.6047562349853236e-05,0.04604756234985324,8.281066660960607e-05,-5.772032576145303e-05
16.400000000000002,8.22307665931054e-05,0.08223076659310541,7.445324849460914e-05,-4.974649391448651e-05
16.450000000000003,0.000141028208175155,0.141028208175155,6.470917196410506e-05,-3.8227950994361945e-05
16.500000000000004,0.00014352312844731632,0.14352312844731632,5.3808766891592795e-05,-2.5920998863887618e-05
16.550000000000004,0.00017964686703578003,0.17964686703578003,4.201389310792575e-05,-1.4686828418225855e-05
16.6,0.00018430011625350073,0.18430011625350073,2.961040560581719e-05,-4.778127769618021e-06
16.650000000000002,6.592501439526123e-05,0.06592501439526123,1.6899801886793477e-05,5.156502046938085e-06
16.700000000000003,1.0966687389676503e-06,0.0010966687389676504,4.190309877503112e-06,1.7318607128422277e-05
16.750000000000004,-9.857822642117174e-06,-0.009857822642117174,-8.212303368573596e-06,3.3524252565181056e-05
16.800000000000004,-1.4057647651804346e-05,-0.014057647651804346,-2.001390925948289e-05,5.3961514056482766e-05
16.85,7.37793454501817e-06,0.00737793454501817,-3.094088554211229e-05,7.64482592995756e-05
16.900000000000002,2.7924328728718653e-05,0.027924328728718653,-4.074838525100531e-05,9.653782716026053e-05
